"filename", "language", "TypeScript JSX", "TypeScript", "XML", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3607, 0, 0, 0, 1, 3608
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/package.json", "JSON", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/App.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 98
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/data/data.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/hooks/useGet80Years.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/hooks/useGetDaysInMonth.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/hooks/useGetHoursInDay.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/hooks/useGetMonths.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/index.css", "CSS", 0, 0, 0, 648, 0, 0, 0, 0, 0, 20, 112, 780
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/main.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/CalendarClock/AstroCircle.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 62
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/CalendarClock/Cardinal.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/CalendarClock/CardinalsCircls.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/CalendarClock/Circle.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61
